"fips","year","income_median","poverty"
53001,1998,32579,16
53003,1998,33330,15.1
53005,1998,47496,9.7
53007,1998,35109,13.6
53009,1998,35816,12.3
53011,1998,47916,8.8
53013,1998,33471,13.3
53015,1998,38819,12.8
53017,1998,36812,10
53019,1998,30389,18.9
53021,1998,32801,17.3
53023,1998,33201,10.5
53025,1998,33885,14.9
53027,1998,31831,16.1
53029,1998,43768,7.6
53031,1998,37745,11.5
53033,1998,52435,7.6
53035,1998,45759,8.7
53037,1998,34365,13.1
53039,1998,34575,14.9
53041,1998,33205,14.1
53043,1998,35574,12.4
53045,1998,37575,11.8
53047,1998,28010,19.6
53049,1998,28946,15.6
53051,1998,30960,18
53053,1998,44389,10.3
53055,1998,42916,7.8
53057,1998,39992,10.9
53059,1998,40735,9.7
53061,1998,51560,6.6
53063,1998,37188,12.3
53065,1998,33545,15.2
53067,1998,44474,8.8
53069,1998,37465,10.7
53071,1998,35974,13.7
53073,1998,39261,11.1
53075,1998,35068,14.2
53077,1998,31624,18
